"","region","country","indicator","input","date"
"291","Europe","Croatia","Ratification of Optional Protocol (OPCAT)","Yes",2005
"292","Europe","Cyprus","Ratification of Optional Protocol (OPCAT)","Yes",2009
"293","Europe","France","Ratification of Optional Protocol (OPCAT)","Yes",2008
"294","Europe","Czech Republic","Ratification of Optional Protocol (OPCAT)","Yes",2006
"295","Europe","Denmark","Ratification of Optional Protocol (OPCAT)","Yes",2004
"296","Europe","Estonia","Ratification of Optional Protocol (OPCAT)","Yes",2006
"297","Europe","Finland","Ratification of Optional Protocol (OPCAT)","Yes",2014
"298","Europe","Georgia","Ratification of Optional Protocol (OPCAT)","Yes",2005
"299","Europe","Germany","Ratification of Optional Protocol (OPCAT)","Yes",2008
"300","Europe","Greece","Ratification of Optional Protocol (OPCAT)","Yes",2014
"301","Europe","Holy See","Ratification of Optional Protocol (OPCAT)","No",NA
"302","Europe","Hungary","Ratification of Optional Protocol (OPCAT)","Yes",2012
"303","Europe","Iceland","Ratification of Optional Protocol (OPCAT)","Yes",2019
"304","Europe","Italy","Ratification of Optional Protocol (OPCAT)","Yes",2013
"305","Europe","Ireland","Ratification of Optional Protocol (OPCAT)","No",NA
"306","Europe","Latvia","Ratification of Optional Protocol (OPCAT)","Yes",2021
"307","Europe","Liechtenstein","Ratification of Optional Protocol (OPCAT)","Yes",2006
"308","Europe","Lithuania","Ratification of Optional Protocol (OPCAT)","Yes",2014
"309","Europe","Luxembourg","Ratification of Optional Protocol (OPCAT)","Yes",2010
"310","Europe","North Macedonia","Ratification of Optional Protocol (OPCAT)","Yes",2009
"311","Europe","Romania","Ratification of Optional Protocol (OPCAT)","Yes",2009
"312","Europe","San Marino","Ratification of Optional Protocol (OPCAT)","No",NA
"313","Europe","Serbia","Ratification of Optional Protocol (OPCAT)","Yes",2006
"314","Europe","Slovakia","Ratification of Optional Protocol (OPCAT)","Yes",2023
"315","Europe","Slovenia","Ratification of Optional Protocol (OPCAT)","Yes",2007
"316","Europe","Spain","Ratification of Optional Protocol (OPCAT)","Yes",2006
"317","Europe","Sweden","Ratification of Optional Protocol (OPCAT)","Yes",2005
"318","Europe","Switzerland","Ratification of Optional Protocol (OPCAT)","Yes",2009
"319","Europe","United Kingdom","Ratification of Optional Protocol (OPCAT)","Yes",2003
"320","Europe","Malta","Ratification of Optional Protocol (OPCAT)","Yes",2003
"321","Europe","Monaco","Ratification of Optional Protocol (OPCAT)","No",NA
"322","Europe","Montenegro","Ratification of Optional Protocol (OPCAT)","Yes",2009
"323","Europe","Netherlands","Ratification of Optional Protocol (OPCAT)","Yes",2010
"324","Europe","Norway","Ratification of Optional Protocol (OPCAT)","Yes",2013
"325","Europe","Poland","Ratification of Optional Protocol (OPCAT)","Yes",2005
"326","Europe","Portugal","Ratification of Optional Protocol (OPCAT)","Yes",2013
"327","Europe","Republic of Moldova","Ratification of Optional Protocol (OPCAT)","Yes",2006
"328","Europe","Russia","Ratification of Optional Protocol (OPCAT)","No",NA
"329","Europe","Turkey","Ratification of Optional Protocol (OPCAT)","Yes",2011
"330","Europe","Ukraine","Ratification of Optional Protocol (OPCAT)","Yes",2006
"331","Middle East","Bahrain","Ratification of Optional Protocol (OPCAT)","No",NA
"332","Middle East","Egypt","Ratification of Optional Protocol (OPCAT)","No",NA
"333","Middle East","Iran","Ratification of Optional Protocol (OPCAT)","No",NA
"334","Middle East","Iraq","Ratification of Optional Protocol (OPCAT)","No",NA
"335","Middle East","Israel","Ratification of Optional Protocol (OPCAT)","No",NA
"336","Middle East","Jordan","Ratification of Optional Protocol (OPCAT)","No",NA
"337","Middle East","Kuwait","Ratification of Optional Protocol (OPCAT)","No",NA
"338","Middle East","Lebanon","Ratification of Optional Protocol (OPCAT)","Yes",2008
"339","Middle East","Libya","Ratification of Optional Protocol (OPCAT)","No",NA
"340","Middle East","Morocco","Ratification of Optional Protocol (OPCAT)","Yes",2014
"341","Middle East","State of Palestine","Ratification of Optional Protocol (OPCAT)","Yes",2017
"342","Middle East","Oman","Ratification of Optional Protocol (OPCAT)","No",NA
"343","Middle East","Qatar","Ratification of Optional Protocol (OPCAT)","No",NA
"344","Middle East","Saudi Arabia","Ratification of Optional Protocol (OPCAT)","No",NA
"345","Middle East","Syria","Ratification of Optional Protocol (OPCAT)","No",NA
"346","Middle East","Tunisia","Ratification of Optional Protocol (OPCAT)","Yes",2011
"347","Middle East","United Arab Emirates","Ratification of Optional Protocol (OPCAT)","No",NA
"348","Middle East","Yemen","Ratification of Optional Protocol (OPCAT)","No",NA
"349","Asia-Pacific","Afghanistan","Ratification of Optional Protocol (OPCAT)","Yes",2018
"350","Asia-Pacific","Australia","Ratification of Optional Protocol (OPCAT)","Yes",2017
"351","Asia-Pacific","Azerbaijan","Ratification of Optional Protocol (OPCAT)","Yes",2009
"352","Asia-Pacific","Bangladesh","Ratification of Optional Protocol (OPCAT)","No",NA
"353","Asia-Pacific","Bhutan","Ratification of Optional Protocol (OPCAT)","No",NA
"354","Asia-Pacific","Brunei Darussalam","Ratification of Optional Protocol (OPCAT)","No",NA
"355","Asia-Pacific","Cambodia","Ratification of Optional Protocol (OPCAT)","Yes",2007
"356","Asia-Pacific","China","Ratification of Optional Protocol (OPCAT)","No",NA
